Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0201_0603Metric,69.4,-29.15,180.0,bottom
C10,1uF,C_0201_0603Metric,69.4,-27.75,0.0,bottom
C11,1uF,C_0201_0603Metric,69.4,-28.45,0.0,bottom
C12,100nF,C_0201_0603Metric,68.0,-28.45,180.0,bottom
C13,100nF,C_0201_0603Metric,69.4,-29.85,180.0,bottom
C14,100nF,C_0201_0603Metric,56.7,-34.15,0.0,bottom
C15,15pF,C_0201_0603Metric,57.411213,-37.98,270.0,bottom
C16,15pF,C_0201_0603Metric,52.5,-37.100001,90.0,bottom
C17,22uF,C_0603_1608Metric,54.299997,-25.5,90.0,bottom
C18,100nF,C_0201_0603Metric,52.95,-25.8,90.0,bottom
C19,100nF,C_0201_0603Metric,74.73,-24.55,0.0,bottom
C2,100nF,C_0201_0603Metric,56.7,-34.85,0.0,bottom
C20,22uF,C_0603_1608Metric,54.3,-22.549999,270.0,bottom
C21,22uF,C_0603_1608Metric,48.575001,-22.549999,90.0,bottom
C22,4.7uF,C_0402_1005Metric,77.97,-32.33,0.0,bottom
C23,1uF,C_0201_0603Metric,78.5,-30.25,90.0,bottom
C24,100nF,C_0201_0603Metric,78.18,-33.15,0.0,bottom
C25,1uF,C_0201_0603Metric,77.8,-30.255,90.0,bottom
C26,4.7uF,C_0402_1005Metric,77.97,-31.41,0.0,bottom
C27,22uF,C_0603_1608Metric,49.05,-26.8,0.0,bottom
C28,100nF,C_0201_0603Metric,50.95,-26.78,90.0,bottom
C29,22uF,C_0603_1608Metric,50.2,-32.6,0.0,bottom
C3,100nF,C_0201_0603Metric,66.6,-27.75,180.0,bottom
C30,22uF,C_0603_1608Metric,50.2,-31.1,0.0,bottom
C31,22uF,C_0603_1608Metric,70.775,-36.125,180.0,bottom
C32,100nF,C_0201_0603Metric,71.65,-37.2,180.0,bottom
C33,22uF,C_0603_1608Metric,50.2,-34.6,180.0,bottom
C34,100nF,C_0201_0603Metric,49.58,-35.7,0.0,bottom
C35,22uF,C_0603_1608Metric,80.5,-37.0,270.0,bottom
C4,100nF,C_0201_0603Metric,58.85,-31.0,45.0,bottom
C5,100nF,C_0201_0603Metric,69.4,-34.65,180.0,bottom
C6,100nF,C_0201_0603Metric,59.8,-27.75,0.0,bottom
C7,100nF,C_0201_0603Metric,65.7,-37.9,225.0,bottom
C8,100nF,C_0201_0603Metric,68.0,-27.75,180.0,bottom
C9,100nF,C_0201_0603Metric,68.0,-29.15,180.0,bottom
D1,LED_BUTTON_L,LED_MX_6028R,29.675,-34.75,0.0,bottom
D2,LED_BUTTON_R,LED_MX_6028R,96.275,-34.75,0.0,bottom
D3,BAT20JFILM,D_SOD-323,78.1,-36.16,0.0,bottom
DS1,SH1107,OLED_SH1107_13P,80.3,-28.5,90.0,bottom
J1,UJ20-C-H-G-MSMT-6-P16-TR,SAMESKY_UJ20-C-H-G-MSMT-6-P16-TR,63.0,-23.9,180.0,bottom
J2,Battery,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,44.0,-22.95,0.0,top
J3,Speaker,JST_ZH_B2B-ZR_1x02_P1.50mm_Vertical,43.9,-37.025,180.0,top
L1,AFE201610SR47MBT,L_Murata_DFE201610P,48.85,-28.950001,270.0,bottom
L2,CMH160808B4R7MT,L_0603_1608Metric,77.94,-37.86,0.0,bottom
NT1,NetTie_2,NetTie-2_SMD_Pad0.5mm,51.5375,-28.950001,0.0,bottom
R1,1k,R_0201_0603Metric,57.411213,-36.335,90.0,bottom
R10,1k,R_0201_0603Metric,55.71,-24.575,90.0,bottom
R11,5.1k,R_0201_0603Metric,48.6,-25.1,180.0,bottom
R12,10k,R_0201_0603Metric,48.6,-24.4,0.0,bottom
R13,27,R_0201_0603Metric,60.6,-38.3,180.0,bottom
R14,620k,R_0201_0603Metric,78.15,-29.2,180.0,bottom
R15,10k,R_0201_0603Metric,78.15,-28.5,180.0,bottom
R16,140k,R_0201_0603Metric,56.05,-30.1,90.0,bottom
R17,140k,R_0201_0603Metric,71.65,-37.925,180.0,bottom
R18,5.1k,R_0201_0603Metric,52.2,-31.5,90.0,bottom
R19,5.1k,R_0201_0603Metric,60.3,-29.6,45.0,bottom
R2,5.1k,R_0201_0603Metric,63.8,-28.2,0.0,bottom
R20,10k,R_0201_0603Metric,60.794974,-29.105026,225.0,bottom
R21,140k,R_0201_0603Metric,78.175,-33.85,180.0,bottom
R22,10k,R_0201_0603Metric,77.1,-33.5,270.0,bottom
R3,5.1k,R_0201_0603Metric,62.2,-28.2,0.0,bottom
R4,27,R_0201_0603Metric,67.543952,-36.043952,45.0,bottom
R5,27,R_0201_0603Metric,67.043952,-36.543952,225.0,bottom
R6,27,R_0201_0603Metric,65.924975,-29.844975,135.0,bottom
R7,27,R_0201_0603Metric,65.43,-29.35,315.0,bottom
R8,10k,R_0201_0603Metric,69.4,-33.200001,180.0,bottom
R9,1k,R_0201_0603Metric,69.4,-32.500005,180.0,bottom
SW1,Button L,SW_Hotswap_Kailh_MX_Plated,29.0785,-27.26,0.0,top
SW2,Button R,SW_Hotswap_Kailh_MX_Plated,95.6785,-27.26,0.0,top
SW3,CK_KMS2xxGP,SW_SPST_CK_KMS2xxGP,76.45,-21.6,180.0,bottom
TP1,GND,TestPoint_Pad_1.0x1.0mm,40.05,-29.75,0.0,bottom
TP2,RESET,TestPoint_Pad_1.0x1.0mm,40.05,-27.75,0.0,bottom
TP3,BOOTSEL,TestPoint_Pad_1.0x1.0mm,40.05,-31.75,0.0,bottom
U1,USBLC6-2SC6,SOT-23-6,71.762501,-22.2125,0.0,bottom
U2,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,63.0,-33.75,45.0,bottom
U3,W25Q128JVSIQ,SOIC-8_5.3x5.3mm_P1.27mm,73.15,-30.1,0.0,bottom
U4,BQ24074RGT,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,51.4375,-23.35,90.0,bottom
U5,VDD331MCTA,SOT-23,54.64,-28.8,90.0,bottom
U6,RT6160A,WL-CSP-15B_1.4x2.3_BSC,51.5375,-28.95,0.0,bottom
U7,MT9700-N,SOT-23-5,54.6375,-32.3,90.0,bottom
U8,MT3608B,SOT-23-6,74.4,-37.0,270.0,bottom
U9,MAX98357AEWL,WLP-9_3x3_1.437x1.347mm_W91F1+1,49.9,-37.0,0.0,bottom
Y1,ABM8-272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,54.95,-37.1,180.0,bottom
